SampleID,cg04866173,cg06951630,cg24435966,cg11099930,cg16086807,cg18800161,cg16250093,sampleType
70,0.415071083,0.90441903,0.547583977,0.03241236,0.747539827,0.111292372,0.898929806,Control
71,0.258314073,0.892394885,0.299304496,0.036466154,0.741321346,0.060223628,0.910867408,DLB
72,0.267959915,0.897310555,0.380791041,0.034054042,0.669203915,0.075040766,0.894219168,Control
73,0.242066713,0.898093347,0.348330145,0.034674798,0.757130551,0.076035194,0.901943673,Control
74,0.501728142,0.89202707,0.468514155,0.04331205,0.672240251,0.077735838,0.887417799,Control
75,0.651777523,0.898494613,0.860610717,0.036231622,0.698422293,0.046434313,0.848687701,DLB
76,0.238356495,0.87999539,0.337563129,0.027661446,0.684774574,0.025757392,0.909290602,Control
77,0.244191253,0.886435016,0.283859515,0.031589909,0.698493213,0.084596177,0.893864725,LBD
78,0.191729944,0.880849548,0.33595257,0.037280748,0.743468959,0.049155558,0.898466082,Control
79,0.282656634,0.90481815,0.386855195,0.033301689,0.770692845,0.054218569,0.877177985,Control
80,0.168971754,0.897953566,0.237253683,0.025319134,0.712855808,0.071344373,0.870762735,DLB
81,0.233410057,0.911445062,0.372315021,0.033469785,0.68318291,0.076552491,0.898371957,Control
82,0.289664989,0.901230675,0.375394474,0.03215324,0.695235938,0.07129267,0.887189259,Control
83,0.383487393,0.908962385,0.47541309,0.031361392,0.735766707,0.083772121,0.898076666,Control
84,0.236315949,0.882779986,0.318620818,0.032009316,0.649546054,0.072637345,0.885141563,Control
85,0.25809267,0.870131952,0.351877648,0.03071348,0.774131962,0.022790809,0.8893494,Control
86,0.227876575,0.895862942,0.286320812,0.030836195,0.612657902,0.084333578,0.906920039,Control
87,0.192117336,0.887637513,0.338060335,0.031355422,0.739119617,0.053394013,0.889352022,Control
88,0.193355463,0.877695995,0.359804788,0.027656313,0.757985898,0.057517089,0.907725771,Control
89,0.30840612,0.894056921,0.397324698,0.026888976,0.754588871,0.082999583,0.913731083,DLB
90,0.175569496,0.899066982,0.224129484,0.035340907,0.705730634,0.043316358,0.891125776,DLB
91,0.321386337,0.899088043,0.468193832,0.055132569,0.716812073,0.077555606,0.893475083,Control
92,0.270456604,0.890909061,0.273548284,0.034785041,0.753605509,0.035806078,0.907817435,Control
93,0.123845707,0.906324852,0.23527204,0.030997647,0.661332059,0.075050061,0.897948616,DLB
94,0.24636411,0.899705148,0.305597998,0.02939182,0.694731612,0.076607257,0.918162355,DLB
95,0.218213483,0.907149891,0.3174069,0.038179462,0.749701596,0.048223044,0.902493284,DLB
96,0.216535366,0.882312479,0.303505514,0.034301176,0.709518213,0.033357674,0.923256531,DLB
97,0.258590105,0.903926516,0.392292394,0.033318747,0.733529234,0.060533331,0.908354352,DLB
98,0.155544735,0.894728591,0.254424644,0.030334765,0.676387946,0.079823277,0.909626753,DLB
99,0.254026652,0.890218252,0.300135214,0.023085784,0.736941962,0.073106029,0.917993844,DLB
100,0.27793047,0.898308884,0.431265752,0.032768742,0.709514263,0.075231546,0.91384988,DLB
101,0.186918783,0.892866775,0.264988989,0.028593173,0.72349188,0.077339629,0.915102561,DLB
102,0.1789147,0.900188727,0.313542135,0.030016114,0.728175742,0.068026742,0.889835779,DLB
103,0.483393632,0.895549315,0.439935612,0.029195855,0.715389738,0.071319456,0.900008201,Control
104,0.185612095,0.892679707,0.335355589,0.036430168,0.791603505,0.04452662,0.899315235,DLB
105,0.241541748,0.903925391,0.364494991,0.032235941,0.738539198,0.094696971,0.900182062,DLB
106,0.234376256,0.895251873,0.360289441,0.04418655,0.717542523,0.036609148,0.885671874,DLB
107,0.205434895,0.894100268,0.316992114,0.031580237,0.729006963,0.034060755,0.913172258,DLB
108,0.211470275,0.905251778,0.357818438,0.028730547,0.761394642,0.095957242,0.912087666,DLB
109,0.207245511,0.858969895,0.257525458,0.033746283,0.674132525,0.020633796,0.888597276,Control
110,0.164892963,0.900606526,0.314623859,0.025073549,0.746167102,0.033511963,0.8980338,DLB
111,0.196442899,0.891337956,0.298290699,0.032378834,0.736404616,0.05904779,0.918805193,DLB
112,0.227806866,0.905163938,0.317794215,0.03536875,0.62397197,0.114660276,0.901737535,DLB
113,0.152696671,0.896276335,0.258472025,0.02371579,0.675783536,0.05284221,0.910706543,DLB
114,0.14890047,0.85642922,0.290363229,0.032225409,0.737804629,0.021331472,0.885941724,DLB
115,0.297704469,0.911440521,0.444243644,0.032870554,0.701718069,0.066145023,0.902936995,Control
116,0.295017409,0.912831733,0.440861675,0.033578973,0.663091775,0.084023711,0.87929006,Control
117,0.247366205,0.911789793,0.330511095,0.034135381,0.730761314,0.067923928,0.913904495,DLB
118,0.264649816,0.890418205,0.364355416,0.03360314,0.722072171,0.069583113,0.922266354,DLB
119,0.262588991,0.893289331,0.407606954,0.030962076,0.672439542,0.062462324,0.902364827,DLB
120,0.185616654,0.859753187,0.243368865,0.034869331,0.714436351,0.021438105,0.900145282,DLB
121,0.23710001,0.903746825,0.234173044,0.044629893,0.656059984,0.087572988,0.897738946,Control
122,0.25976218,0.88774583,0.328593569,0.036524764,0.673922447,0.103166227,0.907739889,DLB
123,0.167429007,0.892595213,0.27582769,0.029627737,0.660581184,0.093624748,0.890242487,DLB
124,0.160058506,0.895543949,0.32550395,0.028237779,0.79675156,0.039634987,0.889212134,DLB
125,0.19228968,0.886853254,0.226691868,0.025776778,0.726201339,0.036027844,0.907346339,DLB
126,0.275459309,0.727392712,0.3623056,0.344363881,0.709587443,0.035383235,0.886235042,Control
127,0.176099887,0.90648954,0.282086914,0.029250561,0.744738964,0.035806089,0.906220859,DLB
128,0.211877034,0.898569959,0.290899095,0.030504519,0.722873082,0.054017958,0.904166681,Control
129,0.165455969,0.895598681,0.308449244,0.036921613,0.730571066,0.03464074,0.902741203,DLB
130,0.198789437,0.88719198,0.303173024,0.038075513,0.7156931,0.050021172,0.904094917,DLB
131,0.162469328,0.895946752,0.256544043,0.035290595,0.688275895,0.078535419,0.895941878,DLB
132,0.19208173,0.886399385,0.236451762,0.027902,0.720206284,0.019610162,0.902989345,DLB
133,0.177900332,0.892526587,0.330966839,0.025094051,0.713771625,0.037408466,0.904595881,DLB
134,0.220577285,0.900900523,0.303661579,0.037658082,0.716033046,0.087174561,0.904462786,DLB
135,0.204624804,0.902299183,0.390595519,0.027411143,0.770149091,0.081847062,0.905171426,DLB
136,0.173225056,0.887109177,0.250672059,0.029277792,0.763477247,0.057634222,0.896444076,DLB
137,0.158590004,0.884817585,0.252510385,0.031031184,0.687902742,0.052755186,0.893354969,DLB
138,0.358256289,0.884125784,0.467693064,0.029130369,0.717584832,0.113566056,0.914550584,Control
139,0.108023143,0.879967523,0.236709619,0.025584846,0.557448384,0.081943578,0.908064423,DLB
140,0.236882539,0.884842942,0.284514916,0.041919941,0.748686246,0.060772254,0.881760878,Control
141,0.145096983,0.882750033,0.272706047,0.039229579,0.731738095,0.042828332,0.903812571,DLB
142,0.178414311,0.88739345,0.335981383,0.024498151,0.727762943,0.066742143,0.90298957,DLB
143,0.192783752,0.896885023,0.33099858,0.036425607,0.73824961,0.054839621,0.875255153,Control
144,0.152297717,0.901886395,0.277538219,0.025137312,0.738020272,0.052971236,0.895479637,DLB
145,0.182407052,0.910439853,0.344602879,0.023546844,0.704708594,0.090322901,0.900346853,DLB
146,0.214357266,0.906180543,0.340025717,0.030936925,0.736005671,0.054777658,0.897572289,DLB
147,0.186123825,0.891530666,0.247592838,0.034174821,0.601293715,0.085150035,0.891894105,DLB
148,0.268203395,0.873737076,0.43564309,0.035761032,0.747984488,0.046101953,0.88663926,Control
149,0.19087981,0.897244026,0.350921957,0.033240464,0.723282899,0.038080208,0.888022695,DLB
150,0.338575995,0.886069671,0.446997111,0.017019047,0.722921722,0.095326043,0.884543667,Control
151,0.243326136,0.89527992,0.255610398,0.029577044,0.656941452,0.059064322,0.90245437,Control
152,0.287681265,0.902504462,0.39955932,0.056143197,0.730719574,0.061402932,0.9111034,Control
153,0.241159635,0.895878415,0.33694805,0.032789745,0.702347397,0.075881916,0.882078164,Control
154,0.282209016,0.898683237,0.338401867,0.034663444,0.69431172,0.067200853,0.883337114,Control
155,0.241631839,0.882645265,0.346053622,0.035308566,0.684827763,0.061002154,0.896635377,Control
156,0.300332168,0.892486118,0.406154617,0.023552495,0.714990556,0.072149446,0.885751445,Control
157,0.206986211,0.863126644,0.276451709,0.037382388,0.739695199,0.026159655,0.88794207,Control
158,0.252601626,0.900772632,0.394756755,0.037399142,0.755385787,0.05642695,0.901666257,Control
159,0.284022686,0.901972633,0.390319862,0.029460568,0.758742064,0.041371342,0.909075961,Control
160,0.204457062,0.899824222,0.294998885,0.025606162,0.732268527,0.053467246,0.912650781,DLB
161,0.212609543,0.902795416,0.224010131,0.026335978,0.704436692,0.054868607,0.905433239,DLB
162,0.251543258,0.849853086,0.332287983,0.043245379,0.70926142,0.022742639,0.885806339,Control
163,0.3216815,0.896538306,0.373595888,0.032236818,0.731455706,0.05891144,0.900141108,Control
164,0.275279386,0.908713447,0.440981175,0.035925036,0.719209977,0.079937124,0.897022547,Control
165,0.258176066,0.893768568,0.416259078,0.031372466,0.752123691,0.051507954,0.899842651,Control
166,0.176379127,0.890431006,0.312527783,0.027239523,0.716586849,0.045432074,0.884346885,DLB
167,0.119348891,0.891211392,0.180732848,0.030703824,0.669520648,0.038124492,0.911820877,DLB
168,0.223100655,0.885367158,0.309030342,0.036914031,0.744253032,0.047767601,0.894895699,DLB
169,0.362515348,0.898269063,0.417338063,0.025884691,0.638639505,0.076520803,0.8810602,Control
170,0.496087037,0.911995839,0.538723909,0.030499517,0.823436583,0.074369998,0.932831042,DLB
171,0.233791069,0.896263099,0.24653195,0.037420615,0.770264784,0.057570851,0.911073145,DLB
172,0.384296116,0.872164731,0.493528468,0.084590826,0.660220581,0.075863562,0.890820396,Control
173,0.172789343,0.900751433,0.258079707,0.033709563,0.643777026,0.082365813,0.906800581,DLB
174,0.359852324,0.891293623,0.438103711,0.037710032,0.736471269,0.081387915,0.900070298,Control
175,0.173560352,0.890815795,0.313207431,0.027629198,0.746257775,0.031927425,0.908699629,DLB
176,0.254031945,0.883705806,0.288989563,0.031759324,0.739302009,0.047643854,0.911342169,Control
177,0.339969338,0.903552602,0.452557832,0.025257313,0.821919468,0.047882368,0.914491885,Control
178,0.390646229,0.906335968,0.529404238,0.03665982,0.76160795,0.09310512,0.882116504,Control
179,0.295408552,0.865683379,0.436323986,0.020071491,0.690645157,0.084024902,0.93131066,Control
180,0.202907847,0.894994778,0.317066691,0.034706145,0.702521568,0.068408068,0.89651824,DLB
181,0.360671523,0.907655445,0.544786429,0.032728536,0.69131861,0.071497171,0.892953081,Control
182,0.265618967,0.870357548,0.363165501,0.03290159,0.673122185,0.089048412,0.89710004,Control
183,0.205115896,0.898574783,0.297202846,0.025891466,0.680156399,0.056409731,0.904179266,DLB
184,0.286095311,0.898711879,0.373652681,0.053004919,0.748215138,0.03665756,0.907757821,Control
185,0.177499868,0.894663733,0.24875919,0.036723948,0.697196463,0.094334907,0.899324598,DLB
186,0.211567371,0.893272933,0.322445622,0.029360805,0.75296749,0.058937679,0.902480644,DLB
187,0.211750099,0.887823142,0.283701401,0.03352212,0.743106808,0.061033781,0.89214612,Control
188,0.339437435,0.912637696,0.4450378,0.027553235,0.743253885,0.072993317,0.904404994,Control
189,0.209474005,0.899343367,0.352648223,0.032402355,0.775561012,0.041746117,0.902247781,Control
190,0.199181496,0.879342246,0.344444928,0.025991946,0.748955551,0.023184567,0.896987498,Control
191,0.258798966,0.88409258,0.35267249,0.029924294,0.745592569,0.02787197,0.892757638,Control
192,0.307854984,0.898296676,0.349695452,0.024952261,0.740790142,0.022024131,0.897389726,Control
193,0.214532815,0.872072227,0.282339071,0.032816056,0.7751986,0.030296302,0.885626323,Control
194,0.274760921,0.895091826,0.375877324,0.037299529,0.756301447,0.023723781,0.886773063,Control
195,0.354728662,0.863804414,0.417675152,0.035267063,0.75203527,0.02354206,0.874404877,Control
196,0.217912523,0.886314014,0.371774655,0.026317945,0.74549519,0.030528453,0.906592686,Control
197,0.25196213,0.878050256,0.405824116,0.032937284,0.78667414,0.025308013,0.911284485,Control
198,0.313175405,0.88621104,0.374174228,0.033322782,0.749157129,0.030009818,0.905017653,Control
199,0.300346765,0.887928681,0.40593752,0.031723501,0.753169138,0.027073091,0.88402442,Control
200,0.196455971,0.883910342,0.320910149,0.037470717,0.710503146,0.025299687,0.888807466,Control
201,0.28712252,0.8844879,0.386294547,0.024019337,0.752850059,0.023234529,0.894337526,Control
202,0.202154939,0.882327505,0.26605947,0.031078127,0.721095954,0.02317471,0.909503258,Control
203,0.325915001,0.903296968,0.468433377,0.030140085,0.797247819,0.02739339,0.902852715,Control
204,0.254823077,0.889533547,0.376246169,0.032374215,0.752967204,0.026243785,0.900548198,Control
205,0.327974078,0.891664585,0.444443658,0.035783438,0.735117382,0.026604123,0.892164975,Control
206,0.328290071,0.873237816,0.479509943,0.035570988,0.795479856,0.022833069,0.896845784,Control
207,0.33491272,0.893172437,0.328381936,0.025297394,0.706628071,0.020577085,0.899051978,Control
208,0.287754114,0.849657985,0.378974897,0.037632297,0.730168651,0.020331513,0.906034053,Control
209,0.311009405,0.888846496,0.401379807,0.027976779,0.731329496,0.02276196,0.883360528,Control
210,0.309144317,0.893047558,0.396957519,0.033306962,0.786834505,0.020723852,0.907705571,Control
211,0.215042322,0.895474747,0.26891438,0.031212569,0.723174655,0.021850761,0.910649519,Control
212,0.319881071,0.899609206,0.427516201,0.02753292,0.793895557,0.026444472,0.892051782,Control
213,0.206518204,0.878010526,0.378569612,0.033904716,0.750374314,0.027602347,0.895243547,Control
214,0.317096723,0.890994238,0.421537922,0.030614313,0.774184575,0.024972233,0.901938015,Control
215,0.202888829,0.879719103,0.293535056,0.031616636,0.72989091,0.026965163,0.899070258,Control
216,0.214584131,0.900166313,0.316792152,0.030286864,0.757576383,0.022690904,0.884959638,Control
217,0.179138926,0.885539557,0.279298481,0.02780498,0.720212494,0.021227808,0.918369498,Control
218,0.269854702,0.891025996,0.446846932,0.032368875,0.774586087,0.031324675,0.908482197,Control
219,0.306976511,0.893961511,0.39514548,0.040503714,0.787118953,0.025951255,0.905513509,Control
220,0.254784593,0.873418544,0.377988018,0.025292862,0.751566851,0.024757021,0.883077076,Control
221,0.285602838,0.894249725,0.413203341,0.034697796,0.799983073,0.027475686,0.887975502,Control
222,0.211566717,0.877420837,0.305348237,0.029240749,0.759080721,0.023309032,0.893620219,Control
223,0.301000911,0.845584895,0.336197793,0.02929893,0.739414756,0.023372523,0.907932948,Control
224,0.282291369,0.891774469,0.332967444,0.041616398,0.752225286,0.027327358,0.894056302,Control
225,0.262821145,0.876303794,0.354166336,0.030208638,0.763636074,0.022756365,0.908130199,Control
226,0.323590835,0.886160468,0.433783918,0.027165646,0.816031243,0.025804183,0.918148106,Control
227,0.228280043,0.886814819,0.327631151,0.027400472,0.781006514,0.022653229,0.909432401,Control
228,0.330887401,0.901952475,0.436897326,0.033041589,0.76912136,0.024702551,0.883984499,Control
229,0.265181005,0.882063085,0.382868531,0.032786474,0.735436292,0.026881955,0.893742315,Control
230,0.202647211,0.895106833,0.287078542,0.03307844,0.758462272,0.034738573,0.894093815,Control
231,0.236204587,0.880973424,0.347031065,0.032075256,0.739397831,0.020030794,0.90990474,Control
232,0.225253654,0.845696944,0.311329036,0.025231298,0.764968198,0.027790529,0.920217467,DLB
233,0.268910594,0.914050225,0.369340349,0.025392663,0.67097569,0.077633242,0.915429093,DLB
234,0.310863605,0.917342619,0.359135939,0.025713134,0.727070483,0.079917929,0.914577473,DLB
235,0.68552116,0.899734096,0.74770606,0.030908611,0.75111152,0.069462908,0.903351583,DLB
236,0.272422678,0.902430783,0.350892478,0.035583481,0.69311604,0.049451805,0.908787294,DLB
237,0.263835308,0.892465227,0.303318245,0.030064731,0.726157044,0.01973769,0.913084603,DLB
238,0.219504355,0.903169345,0.244646945,0.038369193,0.678027608,0.078116345,0.897122443,DLB
239,0.223966255,0.905834613,0.290616698,0.038128262,0.706165017,0.071979562,0.897639418,DLB
240,0.213459443,0.913196398,0.250097732,0.022678396,0.732057068,0.023425365,0.897505853,DLB
241,0.258955028,0.901502948,0.344008797,0.023341913,0.762336849,0.042268389,0.910988345,DLB
242,0.205939343,0.910709627,0.324333531,0.031388262,0.710622614,0.02573873,0.905548456,DLB
243,0.283888714,0.882736865,0.315312855,0.036340145,0.733135452,0.031032478,0.874084902,DLB
244,0.210164783,0.896019509,0.232364375,0.026906144,0.668032794,0.078201056,0.910048509,DLB
245,0.183969546,0.88205712,0.293990028,0.032182375,0.706517003,0.042598172,0.898261026,DLB
246,0.198047951,0.914993235,0.229792346,0.029279441,0.714411788,0.035229605,0.899164809,DLB
247,0.238513168,0.883572737,0.308524002,0.029760855,0.74650569,0.029009953,0.914015628,DLB
248,0.205955725,0.901067258,0.30955453,0.02800021,0.750655534,0.03750173,0.888599935,DLB
249,0.185973006,0.904166539,0.34942132,0.03241572,0.756495672,0.061009711,0.902160781,DLB
250,0.226165188,0.885627275,0.314704436,0.027941526,0.738139144,0.03146162,0.899992967,DLB
251,0.25497452,0.906014403,0.304530806,0.048450843,0.731236595,0.048253175,0.902789881,DLB
252,0.236198227,0.892823239,0.368202804,0.033083483,0.752587034,0.03372737,0.907901431,DLB
253,0.232817042,0.916010718,0.271649474,0.031646382,0.669831069,0.059705079,0.908591905,DLB
254,0.208529507,0.890813986,0.423353297,0.028853349,0.718712192,0.06112432,0.910219439,DLB
255,0.224634662,0.897973265,0.372471282,0.025949329,0.740633585,0.044122737,0.902528088,DLB
256,0.23348348,0.885312997,0.298005441,0.032187768,0.746392856,0.043988455,0.915947242,DLB
257,0.208034432,0.908309094,0.312695466,0.031737049,0.73624471,0.03137528,0.909754444,DLB
258,0.271726852,0.898579152,0.330256784,0.029047879,0.74759307,0.038124439,0.896671252,DLB
259,0.221077252,0.921067799,0.299739658,0.033398279,0.693652794,0.063791061,0.893622088,DLB
260,0.112200735,0.895263051,0.263513186,0.050969192,0.635190477,0.029826845,0.906601375,DLB
261,0.237129808,0.880881156,0.300398967,0.039694245,0.705540864,0.029971744,0.910707241,DLB
262,0.28550575,0.906440443,0.318727313,0.045470971,0.772558865,0.038043402,0.891547615,DLB
263,0.144666435,0.880649894,0.246380819,0.040166332,0.666692015,0.028808579,0.90109357,DLB
264,0.223780426,0.892840817,0.306598515,0.025374595,0.700721476,0.030743068,0.898116591,DLB
265,0.168742857,0.903562195,0.361283954,0.024910655,0.77605911,0.03438392,0.901789886,DLB
266,0.214108766,0.902789192,0.287945837,0.0312273,0.716861177,0.036252722,0.892613082,DLB
267,0.280571458,0.893556383,0.420916924,0.034101162,0.742664654,0.0319932,0.910872684,DLB
268,0.155024308,0.912142107,0.310196453,0.032561522,0.702792936,0.095682521,0.904843331,DLB
269,0.261982015,0.897945555,0.421298297,0.035446312,0.774324368,0.038008471,0.907600467,DLB
270,0.194727206,0.892157095,0.317192969,0.03362088,0.733942101,0.031370714,0.911486383,DLB
271,0.225508076,0.879237701,0.317769189,0.030839841,0.789828878,0.032291671,0.905999422,DLB
272,0.221292756,0.916179455,0.32469972,0.025642604,0.711128415,0.0307093,0.907950928,DLB
273,0.184334832,0.901524024,0.262473981,0.037166706,0.759702517,0.082561206,0.900249059,DLB
274,0.168577222,0.895679996,0.251189452,0.027983016,0.71585969,0.02389285,0.884023297,DLB
275,0.206362545,0.922283058,0.265963676,0.083193392,0.728517032,0.031757932,0.900212425,DLB
276,0.170251454,0.889385119,0.226439555,0.026221158,0.700179955,0.038374461,0.910429235,DLB
277,0.224731485,0.895862923,0.309813429,0.041212149,0.73405044,0.035489917,0.898863119,DLB
278,0.239735088,0.888581761,0.311120418,0.035079736,0.69051788,0.026911302,0.897531858,DLB
279,0.219313377,0.909924485,0.372278038,0.023805473,0.720868561,0.033014897,0.902547031,DLB
280,0.200499162,0.908473426,0.33827831,0.027998977,0.741856299,0.033867388,0.913959792,DLB
281,0.244493798,0.896302877,0.386994694,0.034989755,0.675130177,0.043885534,0.898804619,DLB
282,0.267179313,0.871987255,0.379332432,0.034718522,0.768967798,0.030183173,0.905157446,DLB
283,0.141011447,0.891756818,0.175558367,0.026521168,0.728183926,0.035939721,0.881660181,DLB
284,0.119576077,0.894797645,0.303294476,0.028670353,0.672217602,0.049505215,0.897701674,DLB
285,0.18507101,0.89265087,0.323041996,0.035853981,0.688197689,0.052915599,0.879405634,DLB
286,0.315322384,0.902208419,0.357587719,0.028141905,0.685307825,0.045993221,0.902765879,DLB
287,0.207733001,0.892017772,0.327984987,0.034734203,0.718040068,0.059201108,0.892763405,DLB
288,0.197002765,0.89643648,0.332073068,0.039456204,0.681142429,0.05509977,0.88126389,DLB
289,0.321190027,0.904800034,0.442616401,0.054144665,0.696932747,0.049352756,0.886326971,DLB
290,0.143333423,0.886488769,0.276726725,0.041128009,0.625133837,0.054244521,0.883879321,DLB
291,0.278356369,0.898336604,0.321702115,0.037553087,0.747332245,0.060871127,0.891784607,DLB
292,0.22071514,0.892168721,0.30651769,0.035096493,0.614994417,0.057417565,0.880418282,DLB
293,0.403243396,0.872652473,0.476749544,0.036273711,0.804475897,0.028793769,0.888285371,DLB
